raw id,id,parent id,parent required value,type,style,layout- DH use,prompt,options,points,score,kpi,validation,default formula,default value,post prompt,Developer to notes,PGH notes,In PR?,In LTC?
PFC,Leadership,,,,,,,,,,,,,,,,,,Yes
1_2,pghq_PFC_leadership_1_2,,,html,non-numbered,,"As environmental stewardship increasingly becomes a priority for healthcare, it requires <b>planning, infrastructure and accountability</b>. Please  give us an understanding of how the facility's executive team is engaged in this work, how the work is being organized and how the organization is sharing its commitment with others in the health care community. ",,,,,,,,,,,,Yes
PFC,Leadership,Infrastructure for Environmental Stewardship,,,,,,,,,,,,,,,,,Yes
1_3,pghq_PFC_leadership_1_3,,,selection,radios,,Has the facility appointed an <b>Executive Champion</b> to provide administrative support for environmental stewardship?,Yes|No,3|2,2|0,2|0,,,,,,,,Yes
1_3_1,pghq_PFC_leadership_1_3_1,pghq_PFC_leadership_1_3,Yes,text,default,,Please indicate name:,,1,1,,,,,,,,,Yes
1_3_2,pghq_PFC_leadership_1_3_2,pghq_PFC_leadership_1_3,Yes,text,default,,Title:,,1,1,,,,,,,,,Yes
1_4,pghq_PFC_leadership_1_4,,,selection,radios,,"Has the facility established a <b>Green Team/Sustainability Committee </b> (or did it utilize an existing committee) for ownership/oversight of designing, implementing and reporting on environmental sustainability initiatives?",Yes|No,1|1,1|0,1|0,,,,,,,,Yes
1_4_1,pghq_PFC_leadership_1_4_1,pghq_PFC_leadership_1_4,Yes,text,textarea,,Please provide name of committee and describe the primary function: ,,1,1,,,,,,,,,Yes
1_5,pghq_PFC_leadership_1_5,,,selection,radios,,Has the facility appointed or hired someone to <b>lead sustainability efforts</b> across the organization?,Yes|No,1|1,1|0,1|0,,,,,,,,Yes
1_5_1,pghq_PFC_leadership_1_5_1,pghq_PFC_leadership_1_5,Yes,selection,radios,,Please indicate whether the role is:,Full time|Part time|Other duties within existing job assignment ,3|3|3,3|2|1,,,,,,,,,Yes
1_6,pghq_PFC_leadership_1_6,,,selection,radios,,Has the facility identified a <b>clinical champion(s)</b> to lead efforts on clinical engagement and education?,Yes|No,3|3,3|0,1|0,,,,,,,,Yes
1_6_1,pghq_PFC_leadership_1_6_1,pghq_PFC_leadership_1_6,Yes,text,default,,Name of Champion 1:,,1,1,,,,,,,,,Yes
1_6_2,pghq_PFC_leadership_1_6_2,pghq_PFC_leadership_1_6,Yes,text,default,,Title:,,1,1,,,,,,,,,Yes
1_6_3,pghq_PFC_leadership_1_6_3,pghq_PFC_leadership_1_6,Yes,text,default,,Name of Champion 2:,,,,,,,,,no points,,,Yes
1_6_4,pghq_PFC_leadership_1_6_4,pghq_PFC_leadership_1_6,Yes,text,default,,Title:,,,,,,,,,no points,,,Yes
1_6_5,pghq_PFC_leadership_1_6_5,pghq_PFC_leadership_1_6,Yes,text,default,,Name of Champion 3:,,,,,,,,,,,,Yes
1_6_6,pghq_PFC_leadership_1_6_6,pghq_PFC_leadership_1_6,Yes,text,default,,Title:,,,,,,,,,,,,Yes
1_7,pghq_PFC_leadership_1_7,,,selection,radios,,Has the facility established an organizational <b>Environmental Commitment Statement/Principles/Charter</b> for integrating environmental sustainability that is approved by top leadership?,Yes|No,2|2,2|0,1|0,,,,,,,,Yes
1_7_1,pghq_PFC_leadership_1_7_1,pghq_PFC_leadership_1_7,Yes,file,default,,Please attach a copy:,,1,1,,,,,,,,,Yes
1_8,pghq_PFC_leadership_1_8,,,selection,radios,,Has the facility conducted a sustainability<b> baseline assessment</b>?,Yes|No,1|1,1|0,,,,,,,,,Yes
1_8_1,pghq_PFC_leadership_1_8_1,pghq_PFC_leadership_1_8,Yes,text,textarea,,What <b>tool or resource</b> did the facility use to establish baseline?,,1,1,,,,,,,,,Yes
1_9,pghq_PFC_leadership_1_9,,,selection,radios,,Has the facility created a <b>strategic sustainability plan</b> that aligns with other organizational priorities or embeds sustainability objectives or goals within the overall strategic plan?,Yes|No,2|2,2|0,1|0,,,,,,,,Yes
1_9_1,pghq_PFC_leadership_1_9_1,pghq_PFC_leadership_1_9,Yes,file,default,,Please attach a copy:,,1,1,,,,,,,,,Yes
PFC,Leadership,Human Resources,,,,,,,,,,,,,,,,,Yes
2_1,pghq_PFC_leadership_2_1,,,selection,radios,,Has the facility added sustainability measures for <b>leadership staff</b> into <b>performance objectives/evaluations</b>?,Yes|No,3|3,3|0,1|0,,,,,,,,Yes
2_1_1,pghq_PFC_leadership_2_1_1,pghq_PFC_leadership_2_1,Yes,selection,radios,,Is <b>executive compensation</b> tied to these objectives?,Yes|No,3|3,3|0,,,,,,,,,Yes
2_1_2,pghq_PFC_leadership_2_1_2,pghq_PFC_leadership_2_1,Yes,text,textarea,,Please describe (optional):,,,,,,,,,,,,Yes
2_2,pghq_PFC_leadership_2_2,,,selection,radios,,Has the facility added language to <b>job descriptions</b> on the organization's commitment to the environment and the role that each employee plays? ,Yes|No,2|2,2|0,,,,,,,,,Yes
2_2_1,pghq_PFC_leadership_2_2_1,pghq_PFC_leadership_2_2,Yes,text,textarea,,Please describe:,,1,1,,,,,,,,,Yes
