id,parent id,parent required value,type,style,layout,prompt,options,validation,default value from question,default value,post prompt
pghq_pfc_l1,,,selection,radio,,1.        Has the facility appointed an Executive Champion to provide administrative support for environmental stewardship? ,"Yes, No, Not Applicable",,,,
pghq_pfc_l1i1,pghq_pfc_l1,Yes,text,,,please indicate name,,,,,
pghq_pfc_l1i2,pghq_pfc_l1,Yes,text,,,and title,,,,,
pghq_pfc_l3,,,selection,radio,,3.        Has the facility appointed or hired someone to lead sustainability efforts across the organization? ,"Yes, No, Not Applicable",,,,
pghq_pfc_l3i,pghq_pfc_l3,Yes,selection,dropdown,,,"Full time, Part time, Other duties within existing job assignment",,,,
pghq_pfc_l5,,,selection,radio,,5.        Has the facility established an organizational Environmental Commitment Statement/Principles/Charter for integrating environmental sustainability that is approved by top leadership?  ,"Yes, No",,,,
pghq_pfc_l5i,pghq_pfc_l5,Yes,file,,,,,,,,
pghq_pfc_l18,,,selection,radio,,18.         Does the facility write a publicly available annual report that details environmental stewardship accomplishments?  ,"Yes, No",,,,
pghq_pfc_l18i,pghq_pfc_l18,Yes,selection,dropdown,,please indicate the type of report issued ,"Annual Sustainability Report, Annual Sustainability Report using GRI Framework, Annual Report, Community Benefit Report, or other report ",,,,
pghq_pfc_l18ia,pghq_pfc_l18i,Other report,text,,,please explain,,,,,
pghq_pfc_l18ii,pghq_pfc_l18,Yes,file,,,please attach documentation or link,,,,,
pghq_pfc_l28,,,selection,radio,,28.        Did  the facility feature a sustainability topic connecting health and the environment in at least one grand rounds event this year? ,"Yes, No",,,,
pghq_pfc_l28i1,pghq_pfc_l28,Yes,text,,,1. Date:,,,,,
pghq_pfc_l28i2,pghq_pfc_l28,Yes,text,,,2. Title of presentation,,,,,
pghq_pfc_l28i3,pghq_pfc_l28,Yes,text,,,3. Name of presenter,,,,,
pghq_pfc_l28i4,pghq_pfc_l28,Yes,file,,,4. Attach presentation optional,,,,,
pghq_pfc_w2,,,html,,,"2.        Please indicate the facility’s Solid Waste totals in Table A below (enter a numerical response). If this is your first year applying for a PGH award, you are required to complete the CURRENT YEAR USAGE column at a minimum. 

If you are using a vendor that uses flat fee for integrated waste removal (e.g., RMW and solid waste go out at the same price per lb), please enter your tonnage, but  DO NOT include your cost data in Table A below, as it will skew data set.
",,,,,
pghq_pfc_w2t,,,container,table,"Solid Waste, Tons per Year Baseline, Tons per Year Current, Annual Costs Baseline, Annual Costs Current; Solid Waste, pghq_pfc_w2t2B, pghq_pfc_w2t2C, pghq_pfc_w2t2D, pghq_pfc_w2t2E",Table A. Solid Waste,,,,,
pghq_pfc_w2t2B,pghq_pfc_w2t,,text,,,,,,,Westlake street,
pghq_pfc_w2t2C,pghq_pfc_w2t,,text,,,,,,pghq_pfc_w2t2B,,
pghq_pfc_w2t2D,pghq_pfc_w2t,,text,,,,,,,,
pghq_pfc_w2t2E,pghq_pfc_w2t,,text,,,,,,,,
pghq_pfc_gw3,,,selection,radio,,3.        Does the facility utilize a fluid management system that empties directly into the sanitary sewer as a means to reduce exposure to bloodborne pathogens and reduce waste? ,"Yes, No",,,,
pghq_pfc_gw3i,pghq_pfc_gw3,,selection,radio,,Does the facility utilize a resuable canister fluid management system,"Yes, No",,,,
pghq_pfc_gw3ii,pghq_pfc_gw3i,,container,table,"Avoided waste, pghq_pfc_gw3ii1B; Avoided waste disposal fees from disposable canisters, pghq_pfc_gw3ii2B",Table A. Fluid Management Avoided Waste and Cost Savings,,,,,
pghq_pfc_gw3ii1B,pghq_pfc_gw3ii,,text,,,,,,,,
pghq_pfc_gw3ii2B,pghq_pfc_gw3ii,,text,,,,,,,,
pghq_pfc_gw3ii3B,pghq_pfc_gw3ii,,text,,,,,,,,
pghq_pfc_gw3ii4B,pghq_pfc_gw3ii,,text,,,,,,,,
pghq_pfc_gw3ii5B,pghq_pfc_gw3ii,,text,,,,,,,,
